2234385413 = armor_upgrade_1, 1 - Усилитель корпуса
2771286021 = armor_upgrade_2, 2 - Усилитель корпуса
2234412037 = armor_upgrade_3, 3 - Усилитель корпуса
2771288069 = armor_upgrade_4, 4 - Усилитель корпуса
2234422277 = armor_upgrade_5, 5 - Усилитель корпуса
2771314693 = armor_upgrade_6, 6 - Усилитель корпуса
2234448901 = armor_upgrade_7, 7 - Усилитель корпуса
2771333125 = armor_upgrade_8, 8 - Усилитель корпуса
2234459141 = armor_upgrade_9, 9 - Усилитель корпуса
2211482063 = lair_power_cell, 10 - Энергобатарея
2985633733 = escape_pod, 11 - Спасательная шлюпка Эшкрофта
2211006410 = escape_lifeboat, 12 - Спасательная шлюпка Эшкрофта
2433484363 = commodity_vips, 13 - VIP
2568345479 = commodity_prisoners, 14 - Заключенные
2810414853 = commodity_boron, 15 - Бор
2723152328 = commodity_beryllium, 16 - Бериллий
2866206539 = commodity_gold, 17 - Золото
3147243791 = commodity_cobalt, 18 - Кобальт
2518124616 = commodity_silver, 19 - Серебро
2571848195 = commodity_toxic_waste, 20 - Токсичные отходы
2587568141 = commodity_scrap_metal, 21 - Металлолом
2575917064 = commodity_hydrocarbons, 22 - Углеводород
2977071884 = commodity_niobium, 23 - Ниобий
3200496391 = commodity_copper, 24 - Медь
2593638279 = commodity_oxygen, 25 - Кислород
2532875145 = commodity_water, 26 - Вода
2815770241 = commodity_diamonds, 27 - Алмазы
2999087814 = commodity_alien_organisms, 28 - Микроорганизмы
2863847232 = commodity_food, 29 - Продукты
2345786242 = commodity_luxury_food, 30 - Деликатесы
2862341261 = commodity_fertilizers, 31 - Удобрения
2866034054 = commodity_h_fuel, 32 - Н-топливо
2223065418 = commodity_mox_fuel, 33 - МОХ
2664163777 = commodity_basic_alloys, 34 - Базовые сплавы
2517790468 = commodity_super_alloys, 35 - Суперсплавы
2792430274 = commodity_high_temp_alloys, 36 - Тугоплавкие сплавы
3028160452 = commodity_superconductors, 37 - Сверхпроводники
2305243781 = commodity_optical_chips, 38 - Оптические чипы
