2688493056 = missile01_mark01_rtc, 101 - Установка "Копье"
3024599373 = missile01_mark01, 102 - Установка "Копье"
2487731533 = missile01_mark02, 103 - Установка "Праща"
3024605517 = missile01_mark03, 104 - Установка "Катапульта"
2487696717 = missile01_mark04, 105 - Установка "Улан"
3024562509 = missile01_mark05, 106 - Установка "Снаряд"
2487743822 = missile02_mark01, 107 - Установка "Сталкер"
3024587086 = missile02_mark02, 108 - Уст. "Ветряной сталкер"
2487721294 = missile02_mark03, 109 - Уст. "Лунный сталкер"
3024580942 = missile02_mark04, 110 - Уст. "Солнечный сталкер"
2487706958 = missile02_mark05, 111 - Уст. "Огненный сталкер"
3024613711 = missile03_mark01, 112 - Установка "Стиратель"
2487717199 = missile03_mark02, 113 - Установка "Чистильщик"
3024591183 = missile03_mark03, 114 - Установка "Нейтрализатор"
2487711055 = missile03_mark04, 115 - Установка "Парализатор"
3112104454 = cruise_disruptor01_mark01, 116 - Блокиратор движения "Оса"
2575207942 = cruise_disruptor01_mark02, 117 - Блокиратор движения "Шершень"
2960932227 = torpedo01_mark01, 118 - Т-установка "Звездобой"
2424062339 = torpedo01_mark02, 119 - Т-установка "Солнцебой"
2661610701 = fc_j_gun01_mark01, 120 - "Барраж Мк I"
3198453965 = fc_j_gun01_mark02, 121 - "Барраж Мк II"
2661588173 = fc_j_gun01_mark03, 122 - "Барраж Мк III"
2950730184 = fc_j_turret01_mark01, 123 - Турель "Барраж Мк I"
2413882824 = fc_j_turret01_mark02, 124 - Турель "Барраж Мк II"
2950756808 = fc_j_turret01_mark03, 125 - Турель "Барраж Мк III"
3058004237 = fc_lr_gun01_mark01, 126 - Азраэль
2521107725 = fc_lr_gun01_mark02, 127 - Драэль
3057981709 = fc_lr_gun01_mark03, 128 - Рафаэль
2521167117 = fc_lr_gun01_mark04, 129 - Узиэль
3058032909 = fc_lr_gun01_mark05, 130 - Вассаго
2472077709 = fc_lr_turret01_mark01, 131 - Турель "Зафиэль"
3008927117 = fc_lr_turret01_mark02, 132 - Турель "Бадариэль"
2472051085 = fc_lr_turret01_mark03, 133 - Турель "Сапиэль"
3008916877 = fc_lr_turret01_mark04, 134 - Турель "Тот"
3148043585 = fc_ou_gun01_mark01, 135 - "Драгун Тип 1"
2611161409 = fc_ou_gun01_mark02, 136 - Драгун Тип 2
3148037441 = fc_ou_gun01_mark03, 137 - Драгун Тип 3
2611204417 = fc_ou_gun01_mark04, 138 - Червь Тип 1
3148072257 = fc_ou_gun01_mark05, 139 - Червь Тип 2
2611157314 = fc_ou_gun02_mark01, 140 - Пирос Тип 1
3148047682 = fc_ou_gun02_mark02, 141 - Пирос Тип 2
2611179842 = fc_ou_gun02_mark03, 142 - Пирос Тип 3
3148062018 = fc_ou_gun02_mark04, 143 - Кракен Тип 1
2611185986 = fc_ou_gun02_mark05, 144 - Кракен Тип 2
